INCIDENCE_LIST
    El-#  Node-i  Node-j  Node-m  Centroid-x  Centroid-y   Stiffness     Poisson     Unit-Wt    x-Strain    y-Strain   xy-Strain    x-Stress    y-Stress   xy-Stress     Sigma-1     Sigma-3
     143     191     193     192       56.25        4.12   1.000e+07   2.500e-01   2.000e+04  -2.636e-03  -1.200e-01  -5.990e-03   5.115e+05   1.450e+06   2.396e+04   1.451e+06   5.109e+05
     144     136     104      44       21.08       49.01   1.000e+07   2.500e-01   2.000e+04  -5.525e-05  -5.685e-02  -1.374e-03   2.281e+05   6.824e+05   5.496e+03   6.825e+05   2.280e+05
     145     102      53      92       31.34       46.66   1.000e+07   2.500e-01   2.000e+04  -7.056e-04  -6.316e-02   6.440e-03   2.611e+05   7.607e+05  -2.576e+04   7.620e+05   2.598e+05
     146     183      44     182       18.65       35.94   1.000e+07   2.500e-01   2.000e+04   6.072e-04  -7.758e-02  -8.704e-04   3.030e+05   9.286e+05   3.481e+03   9.286e+05   3.030e+05
     147     196     195      86       21.88        2.00   1.000e+07   2.500e-01   2.000e+04   0.000e+00  -1.272e-01   3.726e-03   5.088e+05   1.526e+06  -1.490e+04   1.527e+06   5.086e+05
     148      54      94      65       57.51       48.43   1.000e+07   2.500e-01   2.000e+04   6.769e-03  -7.463e-02   6.455e-02   2.173e+05   8.685e+05  -2.582e+05   9.585e+05   1.273e+05
     149      73      19      94       56.04       48.48   1.000e+07   2.500e-01   2.000e+04  -8.352e-03  -4.421e-02   9.651e-02   2.771e+05   5.640e+05  -3.860e+05   8.323e+05   8.687e+03
     150      78      57      95       42.53       47.88   1.000e+07   2.500e-01   2.000e+04   8.633e-03  -7.380e-02  -6.045e-02   1.916e+05   8.511e+05   2.418e+05   9.302e+05   1.124e+05
     151      57      96     148       41.63       46.74   1.000e+07   2.500e-01   2.000e+04   1.244e-02  -8.147e-02  -4.232e-02   1.766e+05   9.278e+05   1.693e+05   9.642e+05   1.402e+05
     152      81      96      57       40.06       47.37   1.000e+07   2.500e-01   2.000e+04   9.641e-03  -8.570e-02  -2.134e-02   2.271e+05   9.898e+05   8.534e+04   9.993e+05   2.177e+05
     153      29      96      68       40.75       44.24   1.000e+07   2.500e-01   2.000e+04   1.912e-02  -1.134e-01  -1.122e-02   2.240e+05   1.284e+06   4.486e+04   1.286e+06   2.221e+05
     154      79      97      32       68.17       38.65   1.000e+07   2.500e-01   2.000e+04   4.611e-03  -8.075e-02  -1.068e-02   2.677e+05   9.506e+05   4.273e+04   9.532e+05   2.650e+05
     155      97      60     106       71.40       42.89   1.000e+07   2.500e-01   2.000e+04  -2.823e-03  -6.724e-02  -8.275e-03   3.028e+05   8.182e+05   3.310e+04   8.203e+05   3.007e+05
     156      64      67      98       53.03       35.12   1.000e+07   2.500e-01   2.000e+04  -1.764e-02  -9.841e-03  -3.199e-02   2.510e+05   1.886e+05   1.280e+05   3.515e+05   8.813e+04
     157      67       9      98       54.28       36.78   1.000e+07   2.500e-01   2.000e+04  -7.524e-03  -1.774e-02  -2.232e-02   1.612e+05   2.429e+05   8.927e+04   3.003e+05   1.039e+05
     158      99      65     124       58.69       47.27   1.000e+07   2.500e-01   2.000e+04   1.020e-02  -9.007e-02   3.279e-02   2.379e+05   1.040e+06  -1.312e+05   1.061e+06   2.170e+05
     159      75      42      99       61.32       48.25   1.000e+07   2.500e-01   2.000e+04   6.624e-03  -6.569e-02   1.006e-02   1.833e+05   7.618e+05  -4.026e+04   7.646e+05   1.805e+05
     160     101      23      22       48.16       50.51   1.000e+07   2.500e-01   2.000e+04  -9.201e-03  -1.179e-02  -1.636e-02   1.576e+05   1.783e+05   6.545e+04   2.342e+05   1.017e+05
     161      59      66     100       44.32       50.75   1.000e+07   2.500e-01   2.000e+04  -7.978e-04  -4.242e-02  -7.417e-02   1.793e+05   5.123e+05   2.967e+05   6.860e+05   5.556e+03
     162     126     101      22       50.03       51.54   1.000e+07   2.500e-01   2.000e+04  -1.761e-02   8.271e-03  -4.130e-03   1.783e+05  -2.879e+04   1.652e+04   1.796e+05  -3.010e+04
     163      69     143     122       48.92       56.55   1.000e+07   2.500e-01   2.000e+04  -1.228e-02  -1.969e-02  -7.726e-03   2.262e+05   2.854e+05   3.091e+04   2.986e+05   2.130e+05
     164     136     187     104       21.03       55.67   1.000e+07   2.500e-01   2.000e+04   2.070e-04  -4.034e-02   3.737e-03   1.589e+05   4.833e+05  -1.495e+04   4.840e+05   1.582e+05
     165     155      44      61       27.57       37.94   1.000e+07   2.500e-01   2.000e+04  -6.414e-04  -7.726e-02  -4.139e-03   3.167e+05   9.297e+05   1.656e+04   9.301e+05   3.163e+05
     166     177       4     174        2.54       74.43   1.000e+07   2.500e-01   2.000e+04   1.670e-04  -8.734e-03  -3.795e-03   3.293e+04   1.041e+05   1.518e+04   1.072e+05   2.983e+04
     167      44     104     178       16.32       46.55   1.000e+07   2.500e-01   2.000e+04  -1.412e-03  -5.545e-02   2.724e-03   2.387e+05   6.710e+05  -1.090e+04   6.713e+05   2.385e+05
     168     181     178     104       11.88       51.22   1.000e+07   2.500e-01   2.000e+04  -7.449e-04  -5.147e-02  -3.123e-03   2.148e+05   6.207e+05   1.249e+04   6.210e+05   2.144e+05
     169     139     169     105       38.44        6.12   1.000e+07   2.500e-01   2.000e+04  -1.831e-03  -1.210e-01   8.345e-03   5.060e+05   1.459e+06  -3.338e+04   1.461e+06   5.049e+05
     170      35     191     192       53.13        2.27   1.000e+07   2.500e-01   2.000e+04   0.000e+00  -1.182e-01  -9.727e-04   4.729e+05   1.419e+06   3.891e+03   1.419e+06   4.729e+05
     171      82     106      76       69.97       49.22   1.000e+07   2.500e-01   2.000e+04   1.532e-03  -5.961e-02   5.785e-03   2.201e+05   7.092e+05  -2.314e+04   7.103e+05   2.190e+05
     172     108     109     186       93.65       46.60   1.000e+07   2.500e-01   2.000e+04  -1.393e-03  -5.872e-02   6.052e-04   2.516e+05   7.102e+05  -2.421e+03   7.102e+05   2.516e+05
     173     137      76     107       76.40       52.23   1.000e+07   2.500e-01   2.000e+04   1.006e-03  -4.898e-02   4.283e-03   1.838e+05   5.837e+05  -1.713e+04   5.845e+05   1.831e+05
     174      48     114     186       87.03       38.41   1.000e+07   2.500e-01   2.000e+04  -1.558e-03  -7.345e-02   4.133e-07   3.125e+05   8.876e+05  -1.653e+00   8.876e+05   3.125e+05
     175     108     185     109       93.54       52.37   1.000e+07   2.500e-01   2.000e+04  -1.296e-03  -4.484e-02  -1.721e-03   1.949e+05   5.433e+05   6.884e+03   5.434e+05   1.948e+05
     176     108      77     185       97.04       56.01   1.000e+07   2.500e-01   2.000e+04  -7.073e-04  -4.176e-02   1.716e-03   1.755e+05   5.040e+05  -6.862e+03   5.041e+05   1.754e+05
     177     133     130     132       58.51       59.96   1.000e+07   2.500e-01   2.000e+04  -1.092e-03  -2.997e-02   2.399e-02   1.330e+05   3.640e+05  -9.598e+04   3.986e+05   9.830e+04
     178      51      42     110       60.84       53.18   1.000e+07   2.500e-01   2.000e+04   7.897e-03  -5.834e-02   2.318e-02   1.386e+05   6.685e+05  -9.272e+04   6.843e+05   1.228e+05
     179      43     147     112       43.66       25.96   1.000e+07   2.500e-01   2.000e+04  -7.445e-03  -7.224e-02   2.527e-02   3.783e+05   8.966e+05  -1.011e+05   9.157e+05   3.593e+05
     180      52      64     111       50.06       31.98   1.000e+07   2.500e-01   2.000e+04  -1.772e-02  -2.160e-02  -1.319e-03   2.990e+05   3.301e+05   5.274e+03   3.309e+05   2.982e+05
     181      38     138     112       47.36       20.15   1.000e+07   2.500e-01   2.000e+04  -7.569e-03  -7.767e-02   9.680e-03   4.015e+05   9.624e+05  -3.872e+04   9.650e+05   3.989e+05
     182     138     161     112       53.09       20.46   1.000e+07   2.500e-01   2.000e+04  -6.612e-03  -8.345e-02  -8.915e-03   4.131e+05   1.028e+06   3.566e+04   1.030e+06   4.111e+05
     183     149      79      58       70.37       29.27   1.000e+07   2.500e-01   2.000e+04   2.754e-03  -8.760e-02  -6.598e-03   3.174e+05   1.040e+06   2.639e+04   1.041e+06   3.164e+05
     184     114     113      89       82.76       31.06   1.000e+07   2.500e-01   2.000e+04   7.898e-04  -8.629e-02   7.867e-04   3.357e+05   1.032e+06  -3.147e+03   1.032e+06   3.357e+05
     185     171      88     166       97.42       25.00   1.000e+07   2.500e-01   2.000e+04   1.111e-03  -9.393e-02   2.449e-03   3.624e+05   1.123e+06  -9.796e+03   1.123e+06   3.623e+05
     186     186      36     108       97.15       43.57   1.000e+07   2.500e-01   2.000e+04  -8.905e-04  -6.139e-02   3.035e-03   2.562e+05   7.402e+05  -1.214e+04   7.405e+05   2.559e+05
     187     154      68      53       36.47       43.66   1.000e+07   2.500e-01   2.000e+04   2.898e-03  -7.928e-02  -7.327e-04   2.824e+05   9.398e+05   2.931e+03   9.398e+05   2.823e+05
     188      84     115      72       38.50       37.66   1.000e+07   2.500e-01   2.000e+04   9.511e-03  -9.248e-02   1.270e-02   2.558e+05   1.072e+06  -5.081e+04   1.075e+06   2.526e+05
     189     122     116      59       43.59       54.25   1.000e+07   2.500e-01   2.000e+04  -2.369e-03  -3.154e-02  -3.596e-02   1.546e+05   3.879e+05   1.438e+05   4.565e+05   8.606e+04
     190     116      56     117       41.31       58.84   1.000e+07   2.500e-01   2.000e+04  -9.669e-04  -3.541e-02  -2.119e-02   1.533e+05   4.288e+05   8.476e+04   4.528e+05   1.293e+05
     191     146      56     145       46.41       62.31   1.000e+07   2.500e-01   2.000e+04  -5.814e-03  -1.929e-02  -1.217e-02   1.469e+05   2.547e+05   4.867e+04   2.735e+05   1.282e+05
     192     119      45     117       32.45       64.47   1.000e+07   2.500e-01   2.000e+04   3.071e-03  -2.541e-02  -1.363e-02   6.477e+04   2.926e+05   5.451e+04   3.050e+05   5.240e+04
     193     121     119     117       37.38       67.89   1.000e+07   2.500e-01   2.000e+04  -1.145e-04  -2.258e-02  -1.124e-02   9.168e+04   2.714e+05   4.498e+04   2.820e+05   8.105e+04
     194     188     119      40       26.64       74.53   1.000e+07   2.500e-01   2.000e+04   1.244e-03  -5.966e-03  -7.028e-03   8.933e+03   6.661e+04   2.811e+04   7.805e+04  -2.502e+03
     195     118      40     119       31.23       77.03   1.000e+07   2.500e-01   2.000e+04   0.000e+00  -7.914e-03  -1.070e-02   3.166e+04   9.497e+04   4.281e+04   1.166e+05   1.007e+04
     196     188     173     120       17.90       73.56   1.000e+07   2.500e-01   2.000e+04   1.512e-03  -1.322e-02  -7.836e-03   3.475e+04   1.526e+05   3.134e+04   1.605e+05   2.693e+04
     197     175     104     187       15.56       59.97   1.000e+07   2.500e-01   2.000e+04   1.317e-03  -3.742e-02  -2.238e-03   1.339e+05   4.438e+05   8.951e+03   4.441e+05   1.336e+05
     198     143     145      56       48.17       60.20   1.000e+07   2.500e-01   2.000e+04  -9.379e-03  -1.794e-02  -9.390e-03   1.843e+05   2.528e+05   3.756e+04   2.694e+05   1.677e+05
     199     118     121      37       43.81       76.89   1.000e+07   2.500e-01   2.000e+04   0.000e+00  -4.732e-03  -6.266e-03   1.893e+04   5.679e+04   2.506e+04   6.927e+04   6.449e+03
     200      69     122     101       48.35       54.50   1.000e+07   2.500e-01   2.000e+04  -1.282e-02  -6.557e-03  -1.614e-02   1.801e+05   1.300e+05   6.458e+04   2.243e+05   8.577e+04
     201     116     122      56       44.23       56.79   1.000e+07   2.500e-01   2.000e+04  -3.377e-03  -2.070e-02  -3.256e-02   1.233e+05   2.619e+05   1.302e+05   3.401e+05   4.512e+04
     202     124      17      16       57.30       45.67   1.000e+07   2.500e-01   2.000e+04   1.944e-02  -1.398e-01   8.324e-02   3.261e+05   1.600e+06  -3.330e+05   1.682e+06   2.443e+05
     203      94     123      65       57.11       47.63   1.000e+07   2.500e-01   2.000e+04   6.519e-03  -7.409e-02   6.422e-02   2.181e+05   8.630e+05  -2.569e+05   9.528e+05   1.283e+05
     204      16      13     124       58.47       44.92   1.000e+07   2.500e-01   2.000e+04   2.999e-02  -1.021e-01   3.086e-02   4.862e+04   1.106e+06  -1.234e+05   1.120e+06   3.440e+04
     205      99     124      13       59.43       46.06   1.000e+07   2.500e-01   2.000e+04   1.010e-02  -8.795e-02   3.030e-02   2.306e+05   1.015e+06  -1.212e+05   1.033e+06   2.123e+05
     206     100     125      24       45.05       49.23   1.000e+07   2.500e-01   2.000e+04  -1.396e-02  -2.299e-02  -7.827e-02   2.595e+05   3.317e+05   3.131e+05   6.108e+05  -1.956e+04
     207      78     125      66       43.71       49.04   1.000e+07   2.500e-01   2.000e+04  -2.008e-03  -5.310e-02  -8.146e-02   2.365e+05   6.452e+05   3.258e+05   8.255e+05   5.625e+04
     208     101     126      69       50.53       53.35   1.000e+07   2.500e-01   2.000e+04  -1.761e-02  -1.387e-02  -4.306e-03   2.668e+05   2.368e+05   1.722e+04   2.747e+05   2.290e+05
     209     126     156     128       52.56       51.13   1.000e+07   2.500e-01   2.000e+04  -1.374e-02  -1.129e-02   3.925e-02   2.100e+05   1.904e+05  -1.570e+05   3.575e+05   4.291e+04
     210      73     127      20       55.08       49.35   1.000e+07   2.500e-01   2.000e+04  -8.274e-03  -2.438e-02   7.025e-02   1.968e+05   3.256e+05  -2.810e+05   5.495e+05  -2.707e+04
     211     128     127      63       54.57       50.94   1.000e+07   2.500e-01   2.000e+04  -8.181e-03  -2.307e-02   5.371e-02   1.905e+05   3.096e+05  -2.148e+05   4.730e+05   2.710e+04
     212     129      63      51       55.55       53.06   1.000e+07   2.500e-01   2.000e+04  -3.675e-03  -3.195e-02   4.142e-02   1.719e+05   3.981e+05  -1.657e+05   4.856e+05   8.440e+04
     213     126      22     156       51.32       50.65   1.000e+07   2.500e-01   2.000e+04  -1.045e-02  -9.303e-04  -2.109e-03   1.291e+05   5.295e+04   8.436e+03   1.300e+05   5.203e+04
     214     131     129      51       55.66       54.78   1.000e+07   2.500e-01   2.000e+04  -3.495e-03  -2.975e-02   4.596e-02   1.609e+05   3.710e+05  -1.838e+05   4.777e+05   5.424e+04
     215      69     126     129       52.72       53.91   1.000e+07   2.500e-01   2.000e+04  -1.406e-02  -5.161e-03   2.988e-02   1.894e+05   1.182e+05  -1.195e+05   2.785e+05   2.906e+04
     216      51     132     131       57.60       56.05   1.000e+07   2.500e-01   2.000e+04   3.951e-04  -3.847e-02   2.845e-02   1.491e+05   4.600e+05  -1.138e+05   4.972e+05   1.119e+05
     217     141     140     130       53.96       59.79   1.000e+07   2.500e-01   2.000e+04  -5.536e-03  -1.777e-02   1.761e-02   1.375e+05   2.354e+05  -7.044e+04   2.722e+05   1.007e+05
     218     132      51     110       60.42       55.77   1.000e+07   2.500e-01   2.000e+04   6.535e-03  -3.895e-02   2.400e-02   7.736e+04   4.412e+05  -9.601e+04   4.650e+05   5.358e+04
     219     131     130     140       54.89       57.99   1.000e+07   2.500e-01   2.000e+04  -7.348e-03  -2.756e-02   2.609e-02   1.984e+05   3.601e+05  -1.044e+05   4.113e+05   1.472e+05
     220     110      62     132       63.82       58.21   1.000e+07   2.500e-01   2.000e+04   4.829e-03  -4.649e-02   1.679e-02   1.280e+05   5.386e+05  -6.716e+04   5.493e+05   1.173e+05
     221     130     133      49       56.85       62.37   1.000e+07   2.500e-01   2.000e+04  -6.449e-04  -2.186e-02   1.627e-02   9.519e+04   2.649e+05  -6.508e+04   2.870e+05   7.311e+04
     222     132      62     133       62.27       60.56   1.000e+07   2.500e-01   2.000e+04   8.909e-04  -3.080e-02   1.722e-02   1.125e+05   3.661e+05  -6.886e+04   3.836e+05   9.503e+04
     223     135      49     133       58.66       66.34   1.000e+07   2.500e-01   2.000e+04  -1.676e-03  -2.071e-02   1.490e-02   1.030e+05   2.553e+05  -5.962e+04   2.758e+05   8.241e+04
     224     133      62     135       62.65       65.07   1.000e+07   2.500e-01   2.000e+04   2.771e-04  -2.102e-02   1.606e-02   8.077e+04   2.512e+05  -6.425e+04   2.727e+05   5.926e+04
     225     144     142      49       52.80       68.03   1.000e+07   2.500e-01   2.000e+04  -4.207e-03  -1.449e-02   4.312e-03   1.084e+05   1.907e+05  -1.725e+04   1.942e+05   1.050e+05
     226      62     157     190       70.81       66.12   1.000e+07   2.500e-01   2.000e+04   1.275e-03  -2.256e-02   6.155e-03   7.494e+04   2.656e+05  -2.462e+04   2.688e+05   7.181e+04
     227      92      45     136       28.67       54.25   1.000e+07   2.500e-01   2.000e+04   1.161e-03  -4.670e-02   1.494e-03   1.729e+05   5.557e+05  -5.975e+03   5.558e+05   1.728e+05
     228     187     136      45       24.99       57.84   1.000e+07   2.500e-01   2.000e+04   1.729e-03  -4.382e-02  -4.220e-03   1.545e+05   5.189e+05   1.688e+04   5.197e+05   1.538e+05
     229     109     137     107       82.31       51.39   1.000e+07   2.500e-01   2.000e+04  -8.641e-04  -4.942e-02  -1.938e-03   2.080e+05   5.965e+05   7.751e+03   5.966e+05   2.079e+05
     230     137      80     157       79.05       61.59   1.000e+07   2.500e-01   2.000e+04   1.515e-03  -3.684e-02   1.340e-03   1.292e+05   4.360e+05  -5.360e+03   4.361e+05   1.291e+05
     231     138      38     139       45.95       14.96   1.000e+07   2.500e-01   2.000e+04  -6.857e-03  -1.003e-01   5.275e-03   4.836e+05   1.231e+06  -2.110e+04   1.232e+06   4.830e+05
     232     138      91     161       56.02       16.76   1.000e+07   2.500e-01   2.000e+04  -5.635e-03  -9.710e-02  -7.725e-03   4.560e+05   1.188e+06   3.090e+04   1.189e+06   4.547e+05
     233     169      38      87       36.01       16.18   1.000e+07   2.500e-01   2.000e+04  -6.935e-04  -1.041e-01   1.084e-02   4.245e+05   1.251e+06  -4.337e+04   1.254e+06   4.223e+05
     234     105      35     139       43.86        2.90   1.000e+07   2.500e-01   2.000e+04   0.000e+00  -1.182e-01   3.181e-03   4.726e+05   1.418e+06  -1.273e+04   1.418e+06   4.725e+05
     235     141     130      49       54.65       62.10   1.000e+07   2.500e-01   2.000e+04  -5.600e-03  -2.209e-02   1.385e-02   1.555e+05   2.874e+05  -5.540e+04   3.076e+05   1.354e+05
     236     143      69     140       51.35       57.32   1.000e+07   2.500e-01   2.000e+04  -1.163e-02  -9.564e-03   7.603e-03   1.779e+05   1.613e+05  -3.041e+04   2.011e+05   1.381e+05
     237     142     141      49       52.40       64.62   1.000e+07   2.500e-01   2.000e+04  -4.029e-03  -1.610e-02   4.335e-03   1.128e+05   2.094e+05  -1.734e+04   2.124e+05   1.097e+05
     238     141     145     143       50.47       60.91   1.000e+07   2.500e-01   2.000e+04  -7.473e-03  -1.687e-02   1.604e-04   1.572e+05   2.324e+05  -6.414e+02   2.324e+05   1.572e+05
     239      49     135     144       56.85       69.47   1.000e+07   2.500e-01   2.000e+04  -1.729e-03  -1.400e-02   8.017e-03   7.676e+04   1.749e+05  -3.207e+04   1.845e+05   6.721e+04
     240     142     121     146       45.74       67.48   1.000e+07   2.500e-01   2.000e+04  -3.407e-03  -1.653e-02  -5.729e-03   1.070e+05   2.119e+05   2.292e+04   2.167e+05   1.022e+05
     241     141     143     140       51.83       59.47   1.000e+07   2.500e-01   2.000e+04  -1.173e-02  -1.821e-02   5.798e-03   2.136e+05   2.654e+05  -2.319e+04   2.743e+05   2.047e+05
     242     122     143      56       47.10       57.99   1.000e+07   2.500e-01   2.000e+04  -9.124e-03  -2.208e-02  -1.029e-02   1.978e+05   3.014e+05   4.116e+04   3.158e+05   1.834e+05
     243     134     144     135       59.30       74.47   1.000e+07   2.500e-01   2.000e+04  -1.597e-03  -7.587e-03   9.910e-03   4.951e+04   9.743e+04  -3.964e+04   1.198e+05   2.715e+04
     244     121     144      37       49.35       74.26   1.000e+07   2.500e-01   2.000e+04  -2.866e-03  -6.380e-03  -1.870e-03   5.992e+04   8.802e+04   7.481e+03   8.989e+04   5.805e+04
     245     141     142     145       50.35       63.75   1.000e+07   2.500e-01   2.000e+04  -7.363e-03  -1.670e-02   1.025e-03   1.552e+05   2.299e+05  -4.098e+03   2.301e+05   1.549e+05
     246     146     145     142       47.43       64.72   1.000e+07   2.500e-01   2.000e+04  -3.348e-03  -1.655e-02  -5.849e-03   1.064e+05   2.120e+05   2.340e+04   2.170e+05   1.014e+05
     247     121     117     146       41.72       65.80   1.000e+07   2.500e-01   2.000e+04  -2.303e-03  -1.704e-02  -1.656e-02   9.577e+04   2.136e+05   6.625e+04   2.434e+05   6.604e+04
     248     117      56     146       42.43       62.16   1.000e+07   2.500e-01   2.000e+04  -9.591e-04  -2.205e-02  -1.792e-02   9.970e+04   2.684e+05   7.168e+04   2.948e+05   7.336e+04
     249      85      87     147       35.90       24.73   1.000e+07   2.500e-01   2.000e+04   1.665e-03  -9.157e-02   1.197e-02   3.463e+05   1.092e+06  -4.788e+04   1.095e+06   3.432e+05
     250      87      38     147       37.91       21.05   1.000e+07   2.500e-01   2.000e+04  -5.401e-04  -8.986e-02   1.508e-02   3.659e+05   1.080e+06  -6.033e+04   1.085e+06   3.608e+05
     251      57     148      95       42.22       47.15   1.000e+07   2.500e-01   2.000e+04   1.161e-02  -9.122e-02  -6.745e-02   2.256e+05   1.048e+06   2.698e+05   1.129e+06   1.450e+05
     252      28     148      96       42.07       45.63   1.000e+07   2.500e-01   2.000e+04   1.640e-02  -1.051e-01  -7.148e-02   2.235e+05   1.195e+06   2.859e+05   1.273e+06   1.456e+05
     253     150     149      58       71.95       23.04   1.000e+07   2.500e-01   2.000e+04   4.666e-03  -9.779e-02  -5.596e-03   3.352e+05   1.155e+06   2.238e+04   1.155e+06   3.346e+05
     254      89     113     149       78.36       29.32   1.000e+07   2.500e-01   2.000e+04   2.852e-03  -8.668e-02   1.035e-03   3.125e+05   1.029e+06  -4.141e+03   1.029e+06   3.125e+05
     255      58     161     162       64.55       19.20   1.000e+07   2.500e-01   2.000e+04  -6.709e-04  -9.937e-02  -1.165e-02   4.055e+05   1.195e+06   4.659e+04   1.198e+06   4.028e+05
     256     209     189     152       93.36        9.78   1.000e+07   2.500e-01   2.000e+04   1.743e-03  -1.196e-01  -1.322e-03   4.577e+05   1.429e+06   5.289e+03   1.429e+06   4.577e+05
     257     209       2     189       97.53        5.48   1.000e+07   2.500e-01   2.000e+04   1.293e-03  -1.262e-01   2.744e-03   4.892e+05   1.509e+06  -1.098e+04   1.509e+06   4.891e+05
     258     150     152      89       81.88       18.12   1.000e+07   2.500e-01   2.000e+04   2.605e-03  -1.036e-01  -4.817e-04   3.831e+05   1.233e+06   1.927e+03   1.233e+06   3.831e+05
     259     171     114      89       87.49       27.75   1.000e+07   2.500e-01   2.000e+04   2.070e-03  -8.703e-02   1.614e-03   3.233e+05   1.036e+06  -6.457e+03   1.036e+06   3.232e+05
     260      83     153       7       48.66       37.49   1.000e+07   2.500e-01   2.000e+04  -9.182e-03  -2.058e-03   1.831e-04   1.184e+05   6.142e+04  -7.324e+02   1.184e+05   6.141e+04
     261      64      98     153       51.08       36.10   1.000e+07   2.500e-01   2.000e+04  -1.065e-02  -1.431e-02  -3.706e-02   1.851e+05   2.143e+05   1.483e+05   3.487e+05   5.072e+04
     262     155      53     102       30.93       43.56   1.000e+07   2.500e-01   2.000e+04  -7.163e-04  -6.872e-02  -8.577e-04   2.835e+05   8.275e+05   3.431e+03   8.275e+05   2.835e+05
     263      72     115     154       37.30       39.70   1.000e+07   2.500e-01   2.000e+04  -3.381e-03  -8.040e-02   4.446e-03   3.622e+05   9.783e+05  -1.778e+04   9.788e+05   3.617e+05
     264      44     155     102       26.51       42.27   1.000e+07   2.500e-01   2.000e+04  -5.868e-04  -6.598e-02   2.285e-03   2.710e+05   7.941e+05  -9.139e+03   7.943e+05   2.708e+05
     265      61      72     155       32.54       36.35   1.000e+07   2.500e-01   2.000e+04   2.523e-03  -7.752e-02   1.470e-03   2.798e+05   9.201e+05  -5.878e+03   9.202e+05   2.797e+05
     266      80     164     159       84.97       68.67   1.000e+07   2.500e-01   2.000e+04   1.775e-04  -2.292e-02   1.016e-03   8.954e+04   2.743e+05  -4.066e+03   2.744e+05   8.945e+04
     267      21     128     156       52.88       50.11   1.000e+07   2.500e-01   2.000e+04  -7.057e-03  -8.735e-03   2.934e-02   1.196e+05   1.330e+05  -1.174e+05   2.439e+05   8.781e+03
     268     157     159     190       75.39       69.86   1.000e+07   2.500e-01   2.000e+04   5.455e-04  -2.119e-02   7.816e-03   7.823e+04   2.521e+05  -3.126e+04   2.576e+05   7.278e+04
     269     160     164      77       96.80       67.44   1.000e+07   2.500e-01   2.000e+04   3.523e-05  -2.282e-02   4.670e-03   9.087e+04   2.737e+05  -1.868e+04   2.756e+05   8.898e+04
     270     190     159      41       75.36       74.93   1.000e+07   2.500e-01   2.000e+04   5.485e-04  -5.858e-03   7.181e-03   1.685e+04   6.810e+04  -2.873e+04   8.097e+04   3.980e+03
     271     158      41     159       81.12       77.47   1.000e+07   2.500e-01   2.000e+04   0.000e+00  -6.926e-03   5.377e-03   2.770e+04   8.311e+04  -2.151e+04   9.048e+04   2.034e+04
     272     158     159     164       86.25       74.25   1.000e+07   2.500e-01   2.000e+04   2.755e-04  -6.817e-03   5.011e-03   2.396e+04   8.070e+04  -2.004e+04   8.706e+04   1.759e+04
     273     161      90     112       56.23       24.07   1.000e+07   2.500e-01   2.000e+04  -7.962e-03  -8.066e-02  -1.191e-02   4.182e+05   9.997e+05   4.762e+04   1.004e+06   4.143e+05
     274     161      91     162       61.32       15.40   1.000e+07   2.500e-01   2.000e+04  -3.089e-03  -9.649e-02  -1.023e-02   4.230e+05   1.170e+06   4.093e+04   1.172e+06   4.208e+05
     275     163     193     191       59.38        1.85   1.000e+07   2.500e-01   2.000e+04   0.000e+00  -1.221e-01  -3.666e-03   4.884e+05   1.465e+06   1.467e+04   1.466e+06   4.882e+05
     276     172     150     162       71.67       12.57   1.000e+07   2.500e-01   2.000e+04   7.942e-04  -1.131e-01  -5.713e-03   4.427e+05   1.353e+06   2.285e+04   1.354e+06   4.421e+05
     277     164      80     185       88.39       63.88   1.000e+07   2.500e-01   2.000e+04   3.766e-04  -2.787e-02   6.030e-03   1.070e+05   3.329e+05  -2.412e+04   3.355e+05   1.044e+05
     278     194      47     172       71.63        4.71   1.000e+07   2.500e-01   2.000e+04   4.356e-04  -1.241e-01  -3.994e-03   4.911e+05   1.487e+06   1.598e+04   1.487e+06   4.908e+05
     279     164     160       3       96.80       74.11   1.000e+07   2.500e-01   2.000e+04   3.523e-05  -9.265e-03   2.307e-03   3.664e+04   1.110e+05  -9.226e+03   1.122e+05   3.551e+04
     280      85      43     165       40.29       30.56   1.000e+07   2.500e-01   2.000e+04   2.508e-03  -8.069e-02   3.584e-02   2.927e+05   9.582e+05  -1.434e+05   9.878e+05   2.631e+05
     281      43      55     165       42.30       31.97   1.000e+07   2.500e-01   2.000e+04  -9.171e-06  -6.403e-02   4.934e-02   2.562e+05   7.685e+05  -1.974e+05   8.357e+05   1.890e+05
     282     171     152      88       93.24       19.30   1.000e+07   2.500e-01   2.000e+04   1.562e-03  -1.029e-01  -2.617e-03   3.927e+05   1.228e+06   1.047e+04   1.228e+06   3.926e+05
     283     114     171     166       93.14       29.42   1.000e+07   2.500e-01   2.000e+04   9.069e-06  -8.731e-02  -1.167e-04   3.491e+05   1.048e+06   4.669e+02   1.048e+06   3.491e+05
     284     195     196     199       18.57        4.09   1.000e+07   2.500e-01   2.000e+04   8.913e-04  -1.280e-01   4.770e-03   5.012e+05   1.532e+06  -1.908e+04   1.533e+06   5.009e+05
     285     204     205     176       11.10       16.08   1.000e+07   2.500e-01   2.000e+04   1.632e-03  -1.067e-01   7.535e-04   4.073e+05   1.274e+06  -3.014e+03   1.274e+06   4.073e+05
