INCIDENCE_LIST
    El-#  Node-i  Node-j  Node-m  Centroid-x  Centroid-y   Stiffness     Poisson     Unit-Wt    x-Strain    y-Strain   xy-Strain    x-Stress    y-Stress   xy-Stress     Sigma-1     Sigma-3
      32     131     132     130       57.24       57.90   1.000e+07   2.500e-01   2.000e+04  -1.768e-04  -2.762e-02   2.730e-02   1.126e+05   3.322e+05  -1.092e+05   3.772e+05   6.756e+04
      33      14      10      11       59.17       39.17   1.000e+07   2.500e-01   2.000e+04   1.483e-02  -1.103e-01  -4.964e-02   2.634e+05   1.265e+06   1.986e+05   1.303e+06   2.255e+05
      34       9       8      98       52.75       38.51   1.000e+07   2.500e-01   2.000e+04   2.859e-03  -1.272e-02  -3.857e-02   1.658e+04   1.412e+05   1.543e+05   2.453e+05  -8.752e+04
      35      15      11      12       59.17       41.50   1.000e+07   2.500e-01   2.000e+04   2.404e-02  -1.294e-01  -2.200e-02   2.291e+05   1.456e+06   8.801e+04   1.463e+06   2.228e+05
      36      11      15      14       58.33       40.67   1.000e+07   2.500e-01   2.000e+04   2.275e-02  -1.812e-01  -7.507e-02   4.517e+05   2.083e+06   3.003e+05   2.137e+06   3.982e+05
      37      10      31      11       60.67       39.17   1.000e+07   2.500e-01   2.000e+04   1.408e-02  -1.103e-01   2.866e-02   2.725e+05   1.268e+06  -1.146e+05   1.281e+06   2.594e+05
      38     165      84      72       38.80       34.69   1.000e+07   2.500e-01   2.000e+04   1.104e-02  -8.702e-02   2.489e-02   2.156e+05   1.000e+06  -9.955e+04   1.012e+06   2.031e+05
      39      70      31      10       61.83       37.64   1.000e+07   2.500e-01   2.000e+04   9.423e-03  -6.697e-02   2.325e-03   1.548e+05   7.659e+05  -9.299e+03   7.661e+05   1.547e+05
      40     150      58     162       69.44       18.00   1.000e+07   2.500e-01   2.000e+04   7.327e-04  -9.938e-02  -1.121e-02   3.887e+05   1.190e+06   4.484e+04   1.192e+06   3.862e+05
      41      80     159     157       79.87       66.82   1.000e+07   2.500e-01   2.000e+04   2.005e-03  -2.130e-02   6.856e-03   6.116e+04   2.476e+05  -2.743e+04   2.516e+05   5.721e+04
      42      31      34      12       61.33       41.50   1.000e+07   2.500e-01   2.000e+04   2.810e-02  -1.553e-01  -2.789e-02   2.839e+05   1.751e+06   1.116e+05   1.759e+06   2.755e+05
      43      33      97     106       68.52       43.48   1.000e+07   2.500e-01   2.000e+04   3.243e-03  -7.507e-02   6.104e-03   2.614e+05   8.879e+05  -2.442e+04   8.888e+05   2.604e+05
      44      31      12      11       60.67       40.50   1.000e+07   2.500e-01   2.000e+04   4.502e-03  -1.294e-01  -1.440e-02   4.635e+05   1.535e+06   5.762e+04   1.538e+06   4.604e+05
      45      32      31      70       63.50       38.14   1.000e+07   2.500e-01   2.000e+04  -1.738e-02  -7.030e-02  -1.659e-02   4.897e+05   9.131e+05   6.635e+04   9.232e+05   4.796e+05
      46      15      12      13       59.17       42.83   1.000e+07   2.500e-01   2.000e+04   3.114e-02  -1.236e-01   1.464e-02   1.209e+05   1.359e+06  -5.857e+04   1.362e+06   1.181e+05
      47      54      65      99       58.65       48.43   1.000e+07   2.500e-01   2.000e+04   1.010e-02  -6.758e-02   2.797e-02   1.491e+05   7.705e+05  -1.119e+05   7.900e+05   1.295e+05
      48      10      14      67       57.86       37.27   1.000e+07   2.500e-01   2.000e+04   1.166e-02  -7.670e-02  -3.473e-02   1.669e+05   8.737e+05   1.389e+05   9.001e+05   1.405e+05
      49      73      94      54       56.97       49.06   1.000e+07   2.500e-01   2.000e+04   4.015e-03  -5.854e-02   5.394e-02   1.860e+05   6.864e+05  -2.158e+05   7.666e+05   1.058e+05
      50     184     182     179        6.71       29.99   1.000e+07   2.500e-01   2.000e+04  -5.106e-05  -8.644e-02  -2.074e-04   3.464e+05   1.037e+06   8.297e+02   1.037e+06   3.464e+05
      51     135     190     134       64.66       74.56   1.000e+07   2.500e-01   2.000e+04   1.252e-03  -7.678e-03   1.015e-02   1.569e+04   8.713e+04  -4.060e+04   1.055e+05  -2.670e+03
      52     134      37     144       55.54       77.37   1.000e+07   2.500e-01   2.000e+04   0.000e+00  -3.770e-03   4.620e-03   1.508e+04   4.524e+04  -1.848e+04   5.401e+04   6.308e+03
      53      99      42      54       59.85       49.22   1.000e+07   2.500e-01   2.000e+04   1.022e-02  -7.631e-02   2.194e-02   1.827e+05   8.749e+05  -8.775e+04   8.859e+05   1.717e+05
      54      81      92      53       34.76       47.71   1.000e+07   2.500e-01   2.000e+04   5.190e-03  -6.905e-02  -4.245e-03   2.139e+05   8.079e+05   1.698e+04   8.084e+05   2.134e+05
      55      34      75      13       61.51       44.53   1.000e+07   2.500e-01   2.000e+04   3.395e-03  -6.370e-02  -2.994e-02   2.140e+05   7.508e+05   1.197e+05   7.763e+05   1.885e+05
      56      16      15      13       58.22       43.75   1.000e+07   2.500e-01   2.000e+04   3.346e-02  -1.556e-01   2.993e-02   2.207e+05   1.733e+06  -1.197e+05   1.742e+06   2.113e+05
      57     129     128      63       54.48       52.25   1.000e+07   2.500e-01   2.000e+04  -7.814e-03  -2.425e-02   5.907e-02   1.908e+05   3.223e+05  -2.363e+05   5.018e+05   1.127e+04
      58     123     124      65       57.67       46.92   1.000e+07   2.500e-01   2.000e+04   7.397e-03  -7.969e-02   6.659e-02   2.300e+05   9.267e+05  -2.664e+05   1.017e+06   1.399e+05
      59      32      97      33       66.38       41.25   1.000e+07   2.500e-01   2.000e+04   7.898e-03  -1.201e-01  -1.866e-03   3.857e+05   1.410e+06   7.464e+03   1.410e+06   3.857e+05
      60      13      12      34       60.67       43.00   1.000e+07   2.500e-01   2.000e+04   1.979e-02  -1.236e-01  -2.710e-02   2.570e+05   1.404e+06   1.084e+05   1.414e+06   2.468e+05
      61      29      68     115       40.23       42.58   1.000e+07   2.500e-01   2.000e+04   2.530e-02  -1.023e-01   7.407e-03   1.054e+05   1.126e+06  -2.963e+04   1.127e+06   1.046e+05
      62     123      18      17       56.49       46.78   1.000e+07   2.500e-01   2.000e+04  -6.516e-05  -1.060e-01   1.253e-01   4.246e+05   1.272e+06  -5.011e+05   1.504e+06   1.920e+05
      63      68      81      53       36.93       45.71   1.000e+07   2.500e-01   2.000e+04   3.656e-03  -7.626e-02   4.669e-03   2.612e+05   9.005e+05  -1.868e+04   9.010e+05   2.606e+05
      64     113      79     149       74.14       32.73   1.000e+07   2.500e-01   2.000e+04   1.850e-03  -8.482e-02  -1.512e-03   3.171e+05   1.010e+06   6.047e+03   1.010e+06   3.170e+05
      65     110      42      82       64.10       51.85   1.000e+07   2.500e-01   2.000e+04   4.283e-03  -5.113e-02   1.050e-02   1.531e+05   5.965e+05  -4.198e+04   6.004e+05   1.492e+05
      66      24     125      25       44.84       48.39   1.000e+07   2.500e-01   2.000e+04  -1.584e-02  -4.032e-02  -8.982e-02   3.514e+05   5.472e+05   3.593e+05   8.217e+05   7.691e+04
      67     129     140      69       52.98       55.82   1.000e+07   2.500e-01   2.000e+04  -1.232e-02  -2.007e-02   2.555e-02   2.281e+05   2.901e+05  -1.022e+05   3.659e+05   1.523e+05
      68     111      43     112       46.25       28.32   1.000e+07   2.500e-01   2.000e+04  -1.109e-02  -5.467e-02   3.932e-02   3.517e+05   7.004e+05  -1.573e+05   7.608e+05   2.913e+05
      69     161      58      90       62.39       24.16   1.000e+07   2.500e-01   2.000e+04   1.272e-04  -8.152e-02  -2.530e-02   3.245e+05   9.777e+05   1.012e+05   9.930e+05   3.092e+05
      70      92      46      45       32.68       54.84   1.000e+07   2.500e-01   2.000e+04   7.314e-03  -5.136e-02  -1.238e-02   1.177e+05   5.871e+05   4.953e+04   5.923e+05   1.125e+05
      71      55      71      84       42.10       35.74   1.000e+07   2.500e-01   2.000e+04   9.051e-03  -6.403e-02   6.210e-02   1.475e+05   7.322e+05  -2.484e+05   8.235e+05   5.624e+04
      72      42      51      54       58.82       51.13   1.000e+07   2.500e-01   2.000e+04   8.749e-03  -5.458e-02   2.742e-02   1.133e+05   6.199e+05  -1.097e+05   6.426e+05   9.060e+04
      73      54      51      63       56.82       51.57   1.000e+07   2.500e-01   2.000e+04   4.048e-03  -4.546e-02   5.889e-02   1.333e+05   5.294e+05  -2.356e+05   6.391e+05   2.357e+04
      74      85      72      61       34.64       32.79   1.000e+07   2.500e-01   2.000e+04   5.193e-03  -8.881e-02   6.622e-03   2.929e+05   1.045e+06  -2.649e+04   1.046e+06   2.920e+05
      75     111      64      83       48.06       33.88   1.000e+07   2.500e-01   2.000e+04  -1.629e-02  -3.763e-02   1.393e-02   3.460e+05   5.168e+05  -5.571e+04   5.333e+05   3.294e+05
      76     144     121     142       49.05       69.92   1.000e+07   2.500e-01   2.000e+04  -2.924e-03  -1.066e-02  -8.598e-04   7.774e+04   1.397e+05   3.439e+03   1.399e+05   7.755e+04
      77     116     117      46       38.21       56.89   1.000e+07   2.500e-01   2.000e+04   6.830e-03  -4.164e-02  -2.850e-02   8.459e+04   4.723e+05   1.140e+05   5.034e+05   5.355e+04
      78      81      68      96       39.12       46.08   1.000e+07   2.500e-01   2.000e+04   9.844e-03  -8.391e-02  -1.995e-02   2.175e+05   9.676e+05   7.980e+04   9.760e+05   2.091e+05
      79      50      81      57       39.88       48.91   1.000e+07   2.500e-01   2.000e+04   9.673e-03  -6.637e-02  -2.329e-02   1.494e+05   7.577e+05   9.318e+04   7.716e+05   1.354e+05
      80     139     192     138       49.24       10.83   1.000e+07   2.500e-01   2.000e+04  -3.840e-03  -1.006e-01   3.354e-03   4.487e+05   1.223e+06  -1.342e+04   1.223e+06   4.484e+05
      81      48      60     113       78.07       39.15   1.000e+07   2.500e-01   2.000e+04  -2.533e-03  -7.223e-02   3.164e-03   3.193e+05   8.769e+05  -1.266e+04   8.771e+05   3.190e+05
      82      23     101     100       46.59       50.60   1.000e+07   2.500e-01   2.000e+04  -2.069e-02   5.828e-04  -4.933e-02   2.459e+05   7.576e+04   1.973e+05   3.757e+05  -5.403e+04
      83      50     116      46       39.38       53.12   1.000e+07   2.500e-01   2.000e+04   5.986e-03  -5.495e-02  -2.178e-02   1.480e+05   6.355e+05   8.712e+04   6.506e+05   1.329e+05
      84      32      70      79       66.29       36.71   1.000e+07   2.500e-01   2.000e+04   3.834e-03  -7.628e-02  -8.086e-03   2.591e+05   9.001e+05   3.234e+04   9.017e+05   2.575e+05
      85      82      76     110       67.56       52.38   1.000e+07   2.500e-01   2.000e+04   2.126e-03  -5.435e-02   2.249e-03   1.919e+05   6.437e+05  -8.996e+03   6.439e+05   1.917e+05
      86      61     183     198       24.83       27.86   1.000e+07   2.500e-01   2.000e+04   2.147e-03  -9.199e-02   6.848e-04   3.422e+05   1.095e+06  -2.739e+03   1.095e+06   3.422e+05
      87     165      55      84       41.16       34.10   1.000e+07   2.500e-01   2.000e+04   8.574e-03  -8.221e-02   5.401e-02   2.259e+05   9.522e+05  -2.160e+05   1.012e+06   1.665e+05
      88      42      75      82       63.55       48.83   1.000e+07   2.500e-01   2.000e+04   4.095e-03  -6.809e-02   2.058e-03   2.232e+05   8.007e+05  -8.231e+03   8.008e+05   2.231e+05
      89      76     106     107       74.06       48.71   1.000e+07   2.500e-01   2.000e+04   2.679e-04  -5.907e-02  -1.874e-03   2.331e+05   7.077e+05   7.497e+03   7.079e+05   2.329e+05
      90      20      19      73       55.34       48.60   1.000e+07   2.500e-01   2.000e+04  -1.288e-02  -3.882e-02   8.664e-02   3.098e+05   5.174e+05  -3.466e+05   7.754e+05   5.184e+04
      91     129     126     128       53.46       52.58   1.000e+07   2.500e-01   2.000e+04  -1.141e-02  -1.907e-02   3.812e-02   2.132e+05   2.745e+05  -1.525e+05   3.994e+05   8.836e+04
      92      83       7       6       47.41       38.25   1.000e+07   2.500e-01   2.000e+04   1.146e-02  -1.505e-02   9.303e-03  -7.730e+04   1.348e+05  -3.721e+04   1.411e+05  -8.364e+04
      93      55     111      83       45.72       33.85   1.000e+07   2.500e-01   2.000e+04  -1.044e-02  -3.270e-02   6.272e-02   2.560e+05   4.342e+05  -2.509e+05   6.113e+05   7.889e+04
      94      17     124     123       57.24       46.46   1.000e+07   2.500e-01   2.000e+04   1.748e-02  -8.365e-02   7.539e-02   1.249e+05   9.339e+05  -3.016e+05   1.034e+06   2.484e+04
      95      13      75      99       60.86       46.25   1.000e+07   2.500e-01   2.000e+04   4.694e-03  -8.770e-02  -6.809e-03   2.945e+05   1.034e+06   2.724e+04   1.035e+06   2.935e+05
      96      50      66      59       42.74       50.87   1.000e+07   2.500e-01   2.000e+04   7.611e-03  -4.943e-02  -4.766e-02   1.064e+05   5.627e+05   1.906e+05   6.319e+05   3.724e+04
      97      25      78      26       43.95       47.70   1.000e+07   2.500e-01   2.000e+04  -1.039e-02  -5.944e-02  -1.075e-01   3.624e+05   7.548e+05   4.300e+05   1.031e+06   8.597e+04
      98       9      67      14       55.86       37.77   1.000e+07   2.500e-01   2.000e+04  -6.697e-03  -5.402e-02  -1.128e-01   2.964e+05   6.750e+05   4.510e+05   9.748e+05  -3.418e+03
      99      90      67      52       56.26       30.73   1.000e+07   2.500e-01   2.000e+04  -9.718e-03  -6.229e-02  -2.351e-02   3.658e+05   7.863e+05   9.404e+04   8.064e+05   3.457e+05
     100      27     148      28       42.88       45.71   1.000e+07   2.500e-01   2.000e+04   1.651e-02  -1.243e-01  -1.196e-01   2.991e+05   1.425e+06   4.785e+05   1.601e+06   1.233e+05
     101     154     115      68       38.13       42.37   1.000e+07   2.500e-01   2.000e+04   1.510e-03  -9.787e-02   1.840e-02   3.734e+05   1.168e+06  -7.361e+04   1.175e+06   3.666e+05
     102     140     129     131       54.38       56.18   1.000e+07   2.500e-01   2.000e+04  -8.189e-03  -1.924e-02   2.956e-02   1.752e+05   2.636e+05  -1.183e+05   3.456e+05   9.316e+04
     103     101     122      59       45.89       53.40   1.000e+07   2.500e-01   2.000e+04  -9.005e-03  -2.511e-02  -4.687e-02   2.085e+05   3.373e+05   1.875e+05   4.711e+05   7.467e+04
     104      67      70      10       59.86       35.91   1.000e+07   2.500e-01   2.000e+04   5.646e-03  -8.763e-02  -1.804e-02   2.828e+05   1.029e+06   7.217e+04   1.036e+06   2.759e+05
     105      79      60      97       71.06       39.24   1.000e+07   2.500e-01   2.000e+04  -2.823e-03  -7.702e-02   6.282e-03   3.419e+05   9.355e+05  -2.513e+04   9.365e+05   3.409e+05
     106     115      84      30       40.61       38.75   1.000e+07   2.500e-01   2.000e+04   1.473e-03  -9.066e-02   4.394e-02   3.449e+05   1.082e+06  -1.758e+05   1.122e+06   3.052e+05
     107      71      55      83       44.41       35.74   1.000e+07   2.500e-01   2.000e+04  -7.760e-03  -6.403e-02   6.707e-02   3.493e+05   7.994e+05  -2.683e+05   9.246e+05   2.241e+05
     108     115      30      29       41.50       41.00   1.000e+07   2.500e-01   2.000e+04   2.196e-02  -1.668e-01   4.649e-02   4.039e+05   1.914e+06  -1.859e+05   1.937e+06   3.813e+05
     109      53     155     154       33.89       42.56   1.000e+07   2.500e-01   2.000e+04  -3.756e-03  -7.311e-02   6.730e-03   3.375e+05   8.924e+05  -2.692e+04   8.937e+05   3.362e+05
     110      94      19      18       55.98       47.64   1.000e+07   2.500e-01   2.000e+04  -9.900e-03  -6.253e-02   1.073e-01   3.689e+05   7.900e+05  -4.290e+05   1.057e+06   1.016e+05
     111      54      63      73       56.56       50.12   1.000e+07   2.500e-01   2.000e+04   4.105e-03  -4.648e-02   5.830e-02   1.367e+05   5.414e+05  -2.332e+05   6.478e+05   3.029e+04
     112     178     182      44       14.94       40.24   1.000e+07   2.500e-01   2.000e+04  -2.179e-03  -6.835e-02  -3.947e-03   2.996e+05   8.289e+05   1.579e+04   8.294e+05   2.991e+05
     113      38     169     139       40.36       12.52   1.000e+07   2.500e-01   2.000e+04  -2.030e-03  -1.001e-01   8.237e-03   4.248e+05   1.209e+06  -3.295e+04   1.211e+06   4.234e+05
     114      82      33     106       67.71       46.36   1.000e+07   2.500e-01   2.000e+04   1.514e-03  -6.261e-02   3.386e-03   2.323e+05   7.452e+05  -1.354e+04   7.456e+05   2.319e+05
     115     106      60     107       74.69       45.27   1.000e+07   2.500e-01   2.000e+04   1.184e-04  -6.404e-02   7.398e-05   2.548e+05   7.680e+05  -2.959e+02   7.680e+05   2.548e+05
     116      76     137      62       72.44       56.50   1.000e+07   2.500e-01   2.000e+04   2.345e-03  -4.719e-02   1.168e-03   1.606e+05   5.569e+05  -4.671e+03   5.569e+05   1.606e+05
     117     137     109     185       86.35       54.62   1.000e+07   2.500e-01   2.000e+04  -1.497e-04  -4.551e-02   1.793e-03   1.838e+05   5.467e+05  -7.170e+03   5.468e+05   1.837e+05
     118      66      57      78       42.76       48.76   1.000e+07   2.500e-01   2.000e+04   7.725e-03  -5.967e-02  -5.603e-02   1.460e+05   6.851e+05   2.241e+05   7.661e+05   6.497e+04
     119      26      95      27       43.45       46.82   1.000e+07   2.500e-01   2.000e+04  -3.426e-03  -8.805e-02  -1.190e-01   3.933e+05   1.070e+06   4.760e+05   1.316e+06   1.477e+05
     120      70      58      79       66.88       31.73   1.000e+07   2.500e-01   2.000e+04   3.669e-03  -8.526e-02  -1.383e-02   2.970e+05   1.008e+06   5.531e+04   1.013e+06   2.927e+05
     121     150     172     208       76.80       10.40   1.000e+07   2.500e-01   2.000e+04   5.173e-04  -1.134e-01  -3.742e-03   4.475e+05   1.359e+06   1.497e+04   1.359e+06   4.473e+05
     122       3     158     164       92.63       76.77   1.000e+07   2.500e-01   2.000e+04   0.000e+00  -7.977e-03   1.045e-03   3.191e+04   9.572e+04  -4.179e+03   9.600e+04   3.164e+04
     123      62     137     157       73.54       60.90   1.000e+07   2.500e-01   2.000e+04   2.963e-03  -3.442e-02   7.786e-03   1.021e+05   4.012e+05  -3.115e+04   4.044e+05   9.892e+04
     124      50      46      81       38.29       50.84   1.000e+07   2.500e-01   2.000e+04   1.044e-02  -6.509e-02  -2.529e-02   1.351e+05   7.393e+05   1.012e+05   7.558e+05   1.186e+05
     125      92      81      46       35.49       50.71   1.000e+07   2.500e-01   2.000e+04   5.075e-03  -6.152e-02  -1.459e-03   1.852e+05   7.179e+05   5.835e+03   7.180e+05   1.851e+05
     126      33      82      75       64.75       46.49   1.000e+07   2.500e-01   2.000e+04  -3.999e-03  -6.359e-02   8.713e-03   3.024e+05   7.791e+05  -3.485e+04   7.816e+05   2.998e+05
     127     110      76      62       67.70       56.14   1.000e+07   2.500e-01   2.000e+04   3.339e-03  -4.282e-02   1.068e-02   1.312e+05   5.005e+05  -4.270e+04   5.054e+05   1.264e+05
     128     111      55      43       44.56       31.72   1.000e+07   2.500e-01   2.000e+04  -8.965e-03  -6.403e-02   3.989e-02   3.637e+05   8.043e+05  -1.596e+05   8.560e+05   3.120e+05
     129      64     153      83       49.08       35.83   1.000e+07   2.500e-01   2.000e+04  -1.625e-02  -1.431e-02   2.209e-02   2.523e+05   2.367e+05  -8.836e+04   3.332e+05   1.558e+05
     130      30      84      71       41.85       37.43   1.000e+07   2.500e-01   2.000e+04   1.839e-02  -1.057e-01   5.285e-02   2.021e+05   1.195e+06  -2.114e+05   1.238e+06   1.589e+05
     131      72      85     165       37.94       32.86   1.000e+07   2.500e-01   2.000e+04   1.032e-02  -8.567e-02   2.547e-02   2.188e+05   9.867e+05  -1.019e+05   1.000e+06   2.055e+05
     132     197     198     168       22.54       14.68   1.000e+07   2.500e-01   2.000e+04   2.512e-03  -1.095e-01   2.669e-03   4.077e+05   1.303e+06  -1.068e+04   1.304e+06   4.076e+05
     133      43      85     147       39.97       27.95   1.000e+07   2.500e-01   2.000e+04   2.209e-03  -8.375e-02   3.335e-02   3.085e+05   9.961e+05  -1.334e+05   1.021e+06   2.835e+05
     134     199     201     167       12.61        3.63   1.000e+07   2.500e-01   2.000e+04   1.095e-03  -1.296e-01   4.064e-03   5.052e+05   1.551e+06  -1.626e+04   1.551e+06   5.050e+05
     135     147      38     112       43.66       22.57   1.000e+07   2.500e-01   2.000e+04  -7.445e-03  -8.476e-02   1.668e-02   4.284e+05   1.047e+06  -6.674e+04   1.054e+06   4.213e+05
     136     107      60      48       78.38       43.62   1.000e+07   2.500e-01   2.000e+04  -2.533e-03  -6.072e-02  -2.340e-03   2.733e+05   7.388e+05   9.360e+03   7.390e+05   2.731e+05
     137     209     208     151       87.31        4.29   1.000e+07   2.500e-01   2.000e+04   1.558e-03  -1.291e-01  -3.001e-03   4.977e+05   1.543e+06   1.201e+04   1.543e+06   4.976e+05
     138      89     149     150       77.37       23.18   1.000e+07   2.500e-01   2.000e+04   1.776e-03  -9.780e-02  -5.906e-03   3.699e+05   1.166e+06   2.363e+04   1.167e+06   3.692e+05
     139      36     186     166       97.15       36.91   1.000e+07   2.500e-01   2.000e+04  -8.905e-04  -7.441e-02   1.944e-03   3.083e+05   8.964e+05  -7.776e+03   8.965e+05   3.082e+05
     140      52     111     112       49.41       28.56   1.000e+07   2.500e-01   2.000e+04  -1.670e-02  -6.176e-02  -6.300e-03   4.474e+05   8.079e+05   2.520e+04   8.096e+05   4.457e+05
     141      70      90      58       63.41       29.26   1.000e+07   2.500e-01   2.000e+04   4.494e-03  -8.682e-02  -1.879e-02   2.934e+05   1.024e+06   7.516e+04   1.032e+06   2.857e+05
     142      90      52     112       53.67       27.38   1.000e+07   2.500e-01   2.000e+04  -8.320e-03  -5.797e-02  -1.766e-02   3.317e+05   7.290e+05   7.064e+04   7.412e+05   3.196e+05
